,code_insee_region,libelle_region,nature,date,heure,date_heure,consommation,thermique,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,ech_physiques,stockage_batterie,destockage_batterie,tco_thermique,tch_thermique,tco_nucleaire,tch_nucleaire,tco_eolien,tch_eolien,tco_solaire,tch_solaire,tco_hydraulique,tch_hydraulique,tco_bioenergies,tch_bioenergies,column_68
0,53,Bretagne,Données temps réel,2023-02-01,01:00,2023-02-01T00:00:00+00:00,2790,430,,140,0,10,-1,41,2170,-,-,15.41,30.32,,,5.02,12.24,0.0,0.0,0.36,3.64,1.47,50.62,
1,53,Bretagne,Données temps réel,2023-02-01,02:00,2023-02-01T01:00:00+00:00,2858,316,,116,0,10,-21,41,2396,-,-,11.06,22.28,,,4.06,10.14,0.0,0.0,0.35,3.64,1.43,50.62,
2,53,Bretagne,Données temps réel,2023-02-01,02:30,2023-02-01T01:30:00+00:00,2805,209,,116,0,10,-26,41,2454,-,-,7.45,14.74,,,4.14,10.14,0.0,0.0,0.36,3.64,1.46,50.62,
3,53,Bretagne,Données temps réel,2023-02-01,04:15,2023-02-01T03:15:00+00:00,2581,209,,133,0,9,-58,41,2247,-,-,8.1,14.74,,,5.15,11.63,0.0,0.0,0.35,3.27,1.59,50.62,
4,53,Bretagne,Données temps réel,2023-02-01,07:15,2023-02-01T06:15:00+00:00,3267,636,,119,0,13,-2,41,2459,-,-,19.47,44.85,,,3.64,10.4,0.0,0.0,0.4,4.73,1.25,50.62,
5,53,Bretagne,Données temps réel,2023-02-01,07:30,2023-02-01T06:30:00+00:00,3290,641,,103,0,14,-1,41,2491,-,-,19.48,45.2,,,3.13,9.0,0.0,0.0,0.43,5.09,1.25,50.62,
6,53,Bretagne,Données temps réel,2023-02-01,08:30,2023-02-01T07:30:00+00:00,3465,645,,94,2,95,0,41,2588,-,-,18.61,45.49,,,2.71,8.22,0.06,0.6,2.74,34.55,1.18,50.62,
7,53,Bretagne,Données temps réel,2023-02-01,11:15,2023-02-01T10:15:00+00:00,3430,650,,95,71,81,0,41,2492,-,-,18.95,45.84,,,2.77,8.3,2.07,21.39,2.36,29.45,1.2,50.62,
8,53,Bretagne,Données temps réel,2023-02-01,12:45,2023-02-01T11:45:00+00:00,3383,623,,87,99,19,-1,41,2514,-,-,18.42,43.94,,,2.57,7.6,2.93,29.82,0.56,6.91,1.21,50.62,
9,53,Bretagne,Données temps réel,2023-02-01,14:15,2023-02-01T13:15:00+00:00,3250,642,,143,125,19,-1,41,2280,-,-,19.75,45.28,,,4.4,12.5,3.85,37.65,0.58,6.91,1.26,50.62,
10,53,Bretagne,Données temps réel,2023-02-01,14:30,2023-02-01T13:30:00+00:00,3260,645,,144,119,13,-2,41,2300,-,-,19.79,45.49,,,4.42,12.59,3.65,35.84,0.4,4.73,1.26,50.62,
11,53,Bretagne,Données temps réel,2023-02-01,15:15,2023-02-01T14:15:00+00:00,3185,648,,131,72,17,-20,41,2297,-,-,20.35,45.7,,,4.11,11.45,2.26,21.69,0.53,6.18,1.29,50.62,
12,53,Bretagne,Données temps réel,2023-02-01,16:45,2023-02-01T15:45:00+00:00,3112,642,,123,19,19,-52,41,2320,-,-,20.63,45.28,,,3.95,10.75,0.61,5.72,0.61,6.91,1.32,50.62,
13,53,Bretagne,Données temps réel,2023-02-01,18:15,2023-02-01T17:15:00+00:00,3231,635,,105,0,19,-56,41,2488,-,-,19.65,44.78,,,3.25,9.18,0.0,0.0,0.59,6.91,1.27,50.62,
14,53,Bretagne,Données temps réel,2023-02-01,18:45,2023-02-01T17:45:00+00:00,3416,639,,105,0,19,-3,41,2615,-,-,18.71,45.06,,,3.07,9.18,0.0,0.0,0.56,6.91,1.2,50.62,
